date,cbsa_code,city_description,population,actual_murder,actual_all_crimes,actual_index_violent
2014-06-01,17900,"Columbia, SC Metro Area",804684,4,3547.0,5.5
2014-06-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,21,22806.0,12.023809523809524
2014-06-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,9,8415.0,108.83333333333333
2014-06-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,1,7820.0,8.694444444444445
2014-06-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,12,11506.0,14.024691358024691
2014-06-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,27,15301.0,38.25
2014-06-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,18,13012.0,14.621951219512194
2014-06-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,24,20182.0,28.035714285714285
2014-07-01,12420,"Austin-Round Rock, TX Metro Area",1941049,2,7012.0,12.857142857142858
2014-07-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,7,9200.0,8.509803921568627
2014-07-01,17900,"Columbia, SC Metro Area",804684,5,3454.0,4.448717948717949
2014-07-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,20,23948.0,13.05952380952381
2014-07-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,17,8285.0,116.66666666666667
2014-07-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,3,8088.0,9.87962962962963
2014-07-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-07-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,19,15465.0,35.975
2014-07-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,18,13549.0,15.646341463414634
2014-07-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-08-01,12420,"Austin-Round Rock, TX Metro Area",1941049,1,7026.0,10.80952380952381
2014-08-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,7,9320.0,8.529411764705882
2014-08-01,17900,"Columbia, SC Metro Area",804684,1,3403.0,5.435897435897436
2014-08-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,27,23140.0,11.803571428571429
2014-08-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,11,7979.0,101.0
2014-08-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,7,8369.0,10.462962962962964
2014-08-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-08-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,17,15681.0,36.725
2014-08-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,14,13222.0,16.536585365853657
2014-08-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-09-01,12420,"Austin-Round Rock, TX Metro Area",1941049,6,6883.0,11.119047619047619
2014-09-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,7,9110.0,7.686274509803922
2014-09-01,17900,"Columbia, SC Metro Area",804684,11,3618.0,5.358974358974359
2014-09-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,15,22744.0,11.261904761904763
2014-09-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,11,7846.0,106.91666666666667
2014-09-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,6,7813.0,9.268518518518519
2014-09-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-09-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,16,15732.0,35.575
2014-09-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,14,12921.0,15.207317073170731
2014-09-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-10-01,12420,"Austin-Round Rock, TX Metro Area",1941049,4,7252.0,11.166666666666666
2014-10-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,16,9632.0,8.254901960784315
2014-10-01,17900,"Columbia, SC Metro Area",804684,1,3835.0,5.615384615384615
2014-10-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,19,23888.0,11.303571428571429
2014-10-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,8,8311.0,115.66666666666667
2014-10-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,5,7703.0,7.703703703703703
2014-10-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
2014-10-01,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4494803,24,16456.0,38.125
2014-10-01,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4443098,15,13194.0,14.707317073170731
2014-10-01,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2919454,0,0.0,0.0
2014-11-01,12420,"Austin-Round Rock, TX Metro Area",1941049,9,6560.0,12.119047619047619
2014-11-01,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2373749,10,8310.0,7.313725490196078
2014-11-01,17900,"Columbia, SC Metro Area",804684,4,3161.0,4.5256410256410255
2014-11-01,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6945276,23,21958.0,11.452380952380953
2014-11-01,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2066423,13,7944.0,107.41666666666667
2014-11-01,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1788640,7,6814.0,7.657407407407407
2014-11-01,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2321344,0,0.0,0.0
